acc_name,create_at,full_text,retweet_count,fav_count,follower_count
Prasong_lert,2020-05-23 14:01:18,ระวังทุกฝีก้าว?เปิดโรงเรียน...เปิดรับโรค COVID-19? ,0,0,25781
Namphu27,2020-05-23 13:59:30,ถ้า COVID-19 หายไปแล้ว สถานการณ์ปกติแล้ว สิ่งแรกที่หนูไบร์ทและหนูวินอยากทำคืออะไรค่ะ นอกจากอยากเจอแฟนคลับแล้ว อยากทำอะไรอีกค่ะ  #BrightWinQnA,0,1,61
komsanminchang1,2020-05-23 13:59:08,หาเวลาวิ่งตนเดียว  ไม่เกี่ยวข้องใคร ปลอดภัยจาก  Covid-19 ชัวร์ ,0,0,4
GhostFace_DBD,2020-05-23 13:58:07,"@David_NO_Covid โอลเซนก้าวลงมาจากรถประจำทางด้วยความรีบเร่ง เขาใช้เวลามาถึงที่นี่ค่อนข้างนาน 

เนื่องจากเวลานี้มันเต็มไปด้วยผู้คนที่ต้องการออกมาจับจ่ายใช้สอย 

"" ส่งข้อความหาเนี่ยนะ.. ถามจริง? ""

"" หัดเป็นฝ่ายรอซะบ้างสิ """,0,0,86
littleghost_19,2020-05-23 13:54:32,"ฝากร้านเพื่อนไว้หน่อยนร้า #nontfam 
ตอนนี้เพื่อนไม่มีงานร้องเพลงตามร้านอาหารตั้งแต่ covid เลยมาช่วยแฟนส่งขนม ใครสนใจจ้างเพื่อนเราได้
เพื่อนชื่อ ฉี นร้าา
#หลาดนนท์แฟม 
เพจร้าน
",7,0,190
Prasong_lert,2020-05-23 13:49:29,นายกฯสั่งเอาผิด พวกแอบอ้างเก็บค่าหัวคิวโรงแรมเข้าร่วม State Quarantine ,0,0,25781
David_NO_Covid,2020-05-23 13:41:16,"พอมองภารกิจที่ต้องปฏิบัติร่วมกับอีกฝ่ายแล้วก็แอบถอนหายใจเล็กน้อย ให้ตายถอะทำข้าวกล่องเนี่ยนะ

เดวิสกดแชทไปหาอีกฝ่ายเพื่อเช็คว่ามาถึงหรือยัง เขานัดอีกฝ่ายไว้ที่ซุปเปอร์มาเก็ตเพื่อซื้อวัตถุดิบ

'จะถึงหรือยังเนี่ยรอนานแล้วนะโว้ย'

เขากดส่งข้อความไปหา

@GhostFace_DBD 
#ภารกิจคู่รัก ",0,0,169
29OCT2018,2020-05-23 13:39:46,@RapRKYoon เกาหลีช่วยกันบริจาคเยอะนะครับ แต่ระบบเค้าดีกว่าจริงๆ ที่เห็นชัดๆ คือตรวจ covid ฟรี มีทั้งจุดบริการตามที่สาธารณะ มีจุดตรวจตามทางโดยที่ผู้ตรวจไม่ต้องลงจากรถ มีทั้งจุดตรวจแบบไม่ต้องระบุตัวตนสำหรับคนบางกลุ่ม,97,13,144
ShiroYuki_80,2020-05-23 13:39:43,การปฏิบัติตัวเบื้องต้น สู้ COVID-19 ,0,0,96
sikares,2020-05-23 13:37:45,ญี่ปุ่นต่อสายถึงไทย เสนอความช่วยเหลือทางเทคนิคและเวชภัณฑ์ สู้โควิด 24.5 ล้านบาท ,3,0,2564
krapooklook48,2020-05-23 13:37:34,"มี #BNK48 ด้วยน๊า~~ 


 #CherprangBNK48 ",49,28,1830
Psanitwong,2020-05-23 13:36:07,"วัดพระธรรมกายเป็น 1ใน914ศูนย์ช่วยเหลือผู้ได้รับผลกระทบจากการแพร่ระบาดโรคติดเชื้อไวรัสโคโรนา 2019 ตามพระดำริสมเด็จพระสังฆราช (ข้อมูล ณ 7พ.ค.2563) โดยสนง.พระพุทธศาสนาแห่งชาติ จัดทำหนังสือ “พระพุทธศาสนาในสถานการณ์ COVID-19” เผยแพร่ครั้งนี้ 
",5,9,10805
interleukin_02,2020-05-22 09:02:41,#6ปีรัฐประหาร (1/3) สรุปพปชร.จัดตั้งรบ.เสียงข้างน้อย ปชป.กับภจท. หนุน (และเป็นจุดที่เราเสียความเคารพ ปชป) รมต. มีสิ่งอัศจรรย์อย่างธรรมนัสค้าเฮโรอิน อนุทินเจ้าพ่อกัญชานั่งสธ. ดีที่ฝ่ายค้านโดยเฉพาะอนค. คอยตรวจสอบ แต่ COVID-19 ชี้ให้เห็นว่ารบ.หาเรื่องเอากำไรและริดรอนสิทธิในวิกฤตินี้ ,1,1,142
Pear32351882,2020-05-22 09:01:18,"#ไซด์ไลน์นครสวรรค์ 
#รับงานนครสวรรค์
#หาคู่นอนนครสวรรค์
สนใจแอดไล 🆔amy678910

รับงานตัวเมืองนครสวรรค์
หญิงแท้100%ตรงปกบริการดี
1500/1ชม./1น้ำ(ไม่รวมห้อง)​
จ่ายเงินหน้างาน(เงินสด,โอน)
บริการรับส่งถึงที่พัก
️04.00-22.00น.save covid-19มีน้องมาใหม่ค่ะ ",0,2,35
